59,The Platform,SCIENCE_FICTION,2019,PG,LOVE
60,Nightbooks,FANTASY,2021,PG,LOVE
61,Dark Shadows,FANTASY,2012,PG_13,SPORTS
62,Closet Monster,FANTASY,2015,R,LOVE
63,A Monster Calls,FANTASY,2016,PG_13,SPORTS
64,The Water Man,FANTASY,2020,PG,ANIMALS
65,The Old Guard ,FANTASY,2020,R,FOOD
66,The Sea Beast,FANTASY,2022,PG,FOOD
67,Errementari,FANTASY,2017,R,FOOD
68,Big Fish,FANTASY,2003,R,ANIMALS
69,The Golden Compass,FANTASY,2007,PG_13,SPORTS
70,The Sea Beast,CHILDRENS_FILM,2022,PG,LOVE
71,A Shaun the Sheep Movie : Farmageddon,CHILDRENS_FILM,2019,G,NATURE
72,Paddington,CHILDRENS_FILM,2014,PG,ANIMALS
73,How to Train Your Dragon,CHILDRENS_FILM,2010,PG,SPORTS
74,Pretty Guardian sailor Moon Eternal: The movie,CHILDRENS_FILM,2021,PG_13,SPORTS
75,The Boy Who Harnessed the Wind,CHILDRENS_FILM,2019,PG,SPORTS
76,Enola Holmes,CHILDRENS_FILM,2020,PG,SPORTS
77,Cloudy with a chance of Meatballs,CHILDRENS_FILM,2009,PG,LOVE
78,vivo,CHILDRENS_FILM,2021,PG_13,LOVE
79,puss in Boots,CHILDRENS_FILM,2011,G,LOVE
80,Blame ,ANIMATION,2017,G,NATURE
81,Mirai,ANIMATION,2018,R,ANIMALS
82,A Silent Voice,ANIMATION,2016,PG_13,ANIMALS
83,I Lost My Body,ANIMATION,2019,PG_13,ANIMALS
84,Mobile suit Gundam: Char's Counterattack,ANIMATION,1988,G,NATURE
85,Apollo 10 1/2: A Space Age Childhood,ANIMATION,2022,R,NATURE
86,Lu Over the Wall,ANIMATION,2018,R,SPORTS
87,The End  of Evangelion,ANIMATION,1997,PG,SPORTS
88,The Witcher: Nightmare of The Wolf,ANIMATION,2011,R,SPORTS
89,How to Train Your Dragon 2,ANIMATION,3003,R,SPORTS
90,The Tinder Swindler,DOCUMENTARY,2022,R,NATURE
91,Our Father ,DOCUMENTARY,2022,PG_13,LOVE
92,The Sparks Brothers,DOCUMENTARY,2021,R,FOOD
93,sad Hill Unearthed,DOCUMENTARY,2017,PG_13,FOOD
94,Rolling Thunder revenue,DOCUMENTARY,2019,R,ANIMALS
95,Made You Look: A True Story About Fake Art,DOCUMENTARY,2020,PG_13,NATURE
96,The Bleeding Edge,DOCUMENTARY,1018,PG_13,NATURE
97,"Bob Ross: Happy Accident Betrayal & Greed",DOCUMENTARY,2021,PG_13,ANIMALS
98,David Attenborough: A Life on Our Planet,DOCUMENTARY,2020,PG,SPORTS
99,Misha and the Wolves,DOCUMENTARY,2021,PG_13,SPORTS
